"TotalReviewers","NameOfReviewer","FrequentVisitorIn"
"29","Russell","Back Bay"
"29","Emilie","Dorchester"
"29","Grant","East Boston"
"29","Carl","North End"
"29","Karin","East Boston"
"29","Clara","Mission Hill"
"29","Rafael","Dorchester"
"29","Marianne","South End"
"29","Bonnie","Jamaica Plain"
"29","Cody","Mission Hill"
"29","Markus","Dorchester"
"28","Francis","Dorchester"
"28","Kat","Jamaica Plain"
"28","Matthias","Jamaica Plain"
"28","Howard","Roslindale"
"28","Eduardo","Dorchester"
"28","Carolina","South End"
"28","Eileen","nan"
"28","Kara","nan"
"28","Jessie","Dorchester"
"28","Trevor","Dorchester"
"28","Katy","Jamaica Plain"
"28","Lydia","South Boston"
"28","Kerry","West Roxbury"
"28","Lena","nan"
"28","Deb","Dorchester"
"27","Shirley","Dorchester"
"27","Yang","South Boston"
"27","Elise","Dorchester"
"27","Stacey","Beacon Hill"
"27","Tanya","South End"
"27","Jaime","North End"
"27","Ross","Jamaica Plain"
"27","Brent","nan"
"27","Bruno","Theater District"
"27","Li","East Boston"
"27","Tommy","Dorchester"
"27","Zach","Fenway/Kenmore"
"27","Antoine","Mission Hill"
"27","Justine","South Boston"
"27","Janice","East Boston"
"27","Zoe","Dorchester"
"27","Sophia","West End"
"26","Martina","East Boston"
"26","Ricardo","Back Bay"
"26","Paola","Jamaica Plain"
"26","Roberta","Dorchester"
"26","Abigail","South End"
"26","Alberto","East Boston"
"26","Gabrielle","Charlestown"
"26","Angie","East Boston"
"26","Jillian","North End"
"26","Naomi","Dorchester"
"26","Isabel","Dorchester"
"26","Alessandro","nan"
"26","Tamara","nan"
"26","Christoph","nan"
"26","Johannes","Jamaica Plain"
"26","Ariel","Downtown Crossing"
"25","Jenn","South End"
"25","Jared","Mission Hill"
"25","Kurt","Roslindale"
"25","Oscar","East Boston"
"25","Gloria","Dorchester"
"25","Paige","Beacon Hill"
"25","Kris","East Boston"
"25","Blake","South Boston"
"25","Dean","nan"
"25","Zachary","Back Bay"
"25","Ivan","Jamaica Plain"
"25","Sabine","Jamaica Plain"
"25","Kay","Leather District"
"25","Wei","Dorchester"
"25","Isaac","East Boston"
"25","Ralph","nan"
"25","Carole","Charlestown"
"25","Allen","Roxbury"
"25","Jing","nan"
"25","Noah","South End"
"24","Sven","Dorchester"
"24","Stacy","Dorchester"
"24","Adrienne","South Boston"
"24","Whitney","South End"
"24","Tracey","North End"
"24","Bridget","nan"
"24","Corey","South End"
"24","Chen","South End"
"24","Monique","Allston-Brighton"
"24","Nathalie","Hyde Park"
"24","Nadine","South Boston"
"24","Jeanne","Jamaica Plain"
"24","Yi","North End"
"24","Leigh","Jamaica Plain"
"24","Sherry","Fenway/Kenmore"
"23","Yu","Jamaica Plain"
"23","Adriana","South Boston"
"23","Sylvia","North End"
"23","Meg","Back Bay"
"23","Mia","Roslindale"
"23","Valentina","Dorchester"
"23","Olga","nan"
"23","Lawrence","Beacon Hill"
"23","Raymond","Jamaica Plain"
"23","Hugo","Roxbury"
"23","Regina","Jamaica Plain"
"23","Chiara","South Boston"
"23","Gabriela","Fenway/Kenmore"
"23","Marissa","Back Bay"
"23","Haley","Jamaica Plain"
"23","Evelyn","Jamaica Plain"
"23","Leon","Dorchester"
"22","Laurence","North End"
"22","Alain","Dorchester"
"22","Vivian","East Boston"
"22","Vicki","Beacon Hill"
"22","Joy","Jamaica Plain"
"22","Chad","Jamaica Plain"
"22","Michel","North End"
"22","Pascal","Dorchester"
"22","Mathilde","South End"
"22","Javier","Allston-Brighton"
"22","Gerard","Charlestown"
"22","Petra","Jamaica Plain"
"22","Felipe","South End"
"22","(EMAIL HIDDEN)","Roslindale"
"22","Virginia","West End"
"22","Vicky","Dorchester"
"22","Robyn","Jamaica Plain"
"22","Shelley","Charlestown"
"22","Cassandra","Dorchester"
"22","Tammy","Allston-Brighton"
"22","Louis","Allston-Brighton"
"22","Connor","Dorchester"
"21","Chloe","East Boston"
"21","Lukas","East Boston"
"21","Ronald","Dorchester"
"21","Liam","Allston-Brighton"
"21","Troy","Roslindale"
"21","Annette","South End"
"21","Marta","North End"
"21","Guillermo","Beacon Hill"
"21","Phillip","East Boston"
"21","Blair","Charlestown"
"21","Karl","Mission Hill"
"21","Krista","Back Bay"
"21","Lynne","Fenway/Kenmore"
"21","Betty","Dorchester"
"21","Sergio","Dorchester"
"21","Graham","South End"
"21","Carina","Dorchester"
"21","Shaun","South Boston"
"21","Mariana","Back Bay"
"21","Jodi","South Boston"
"21","Sofia","Back Bay"
"21","Brianna","Dorchester"
"21","Monika","Fenway/Kenmore"
"21","Maxime","Dorchester"
"21","Gerardo","Dorchester"
"21","Nadia","Charlestown"
"21","Abby","Dorchester"
"21","Rita","North End"
"21","Jana","Charlestown"
"21","Miguel","South Boston"
"21","Leo","Fenway/Kenmore"
"20","Al","Roxbury"
"20","Xiao","Downtown Crossing"
"20","Damien","Jamaica Plain"
"20","Mindy","nan"
"20","Ellie","Fenway/Kenmore"
"20","Hugh","nan"
"20","Stefano","Dorchester"
"20","Frances","Back Bay"
"20","Thierry","nan"
"20","Lesley","East Boston"
"20","Billy","Roxbury"
"20","Rodrigo","nan"
"20","Eugene","South End"
"20","Karina","Roxbury"
"20","Spencer","Dorchester"
"20","Glenn","North End"
"20","Roman","Fenway/Kenmore"
"20","Johnny","South Boston"
"20","Dustin","North End"
"20","Sylvie","Mission Hill"
"20","Anja","Jamaica Plain"
"20","Johanna","nan"
"20","Eddie","Leather District"
"20","Annika","East Boston"
"20","Mel","nan"
"20","Guy","nan"
"20","Luca","East Boston"
"20","Emmanuel","East Boston"
"20","Miranda","Dorchester"
"20","Pedro","North End"
"20","Christophe","Dorchester"
"20","Gordon","South Boston"
"20","Maya","Back Bay"
"20","Marisa","Jamaica Plain"
"19","Sheila","nan"
"19","Lin","nan"
"19","Priscilla","Jamaica Plain"
"19","Ignacio","nan"
"19","Pete","Back Bay"
"19","Connie","South Boston"
"19","Gail","Roxbury"
"19","Katrina","Jamaica Plain"
"19","New","Mission Hill"
"19","Jade","North End"
"19","Arthur","Roslindale"
"19","Tristan","Allston-Brighton"
"19","Rory","Allston-Brighton"
"19","Neal","Back Bay"
"19","Shelly","East Boston"
"19","Tricia","Jamaica Plain"
"19","Chuck","Jamaica Plain"
"19","Bianca","South Boston"
"19","Bernard","East Boston"
"19","Dominic","South Boston"
"19","Florence","Back Bay"
"19","Romain","Jamaica Plain"
"19","Véronique","Jamaica Plain"
"19","Nelson","nan"
"18","Melinda","Dorchester"
"18","Frank (And Meridith)","East Boston"
"18","Doron","nan"
"18","Leonardo","Back Bay"
"18","Andres","nan"
"18","Lina","East Boston"
"18","Donald","South Boston"
"18","Jonas","West End"
"18","Stephan","Mission Hill"
"18","Barb","nan"
"18","Sunny","Back Bay"
"18","Marcos","Allston-Brighton"
"18","Stella","South End"
"18","Marilyn","East Boston"
"18","Philipp","Dorchester"
"18","Marian","Jamaica Plain"
"18","Raul","East Boston"
"18","Jens","Allston-Brighton"
"18","Janine","Jamaica Plain"
"18","Tobias","South End"
"18","Jody","Fenway/Kenmore"
"18","Roy","Allston-Brighton"
"18","Myriam","East Boston"
"18","Marcel","nan"
"18","Christy","South End"
"18","Bradley","South Boston"
"18","Patti","Jamaica Plain"
"18","Fabian","Beacon Hill"
"18","Francesco","North End"
"18","Margot","Beacon Hill"
"17","Franziska","Dorchester"
"17","Paolo","South End"
"17","Cassie","South Boston"
"17","Cara","Dorchester"
"17","Fred","Allston-Brighton"
"17","Mallory","South Boston"
"17","Lars","East Boston"
"17","Karla","East Boston"
"17","Darren","North End"
"17","Mitchell","West End"
"17","Yuan","Downtown Crossing"
"17","Dirk","Dorchester"
"17","Federico","East Boston"
"17","Sasha","Dorchester"
"17","Ingrid","North End"
"17","Alexa","Fenway/Kenmore"
"17","Hanna","East Boston"
"17","Fabio","Roxbury"
"17","Dale","Beacon Hill"
"17","Penny","Beacon Hill"
"17","Doris","nan"
"17","Lucie","Dorchester"
"17","Gayle","nan"
"17","Kenny","Jamaica Plain"
"17","Alissa","nan"
"17","Michaela","South End"
"17","Celine","Beacon Hill"
"17","Birgit","nan"
"17","Valeria","Roxbury"
"16","Curtis","Roxbury"
"16","Benoit","Allston-Brighton"
"16","Logan","Roxbury"
"16","Jocelyn","East Boston"
"16","Edwin","East Boston"
"16","Shelby","Jamaica Plain"
"16","Laurel","South Boston"
"16","Patty","Charlestown"
"16","Verena","Mission Hill"
"16","Nora","Jamaica Plain"
"16","Quentin","East Boston"
"16","Gillian","Charlestown"
"16","Yan","Fenway/Kenmore"
"16","Lara","Dorchester"
"16","Kirk","Beacon Hill"
"16","André","South End"
"16","Sonia","Dorchester"
"16","Geoffrey","nan"
"16","Trish","Allston-Brighton"
"16","Allan","Jamaica Plain"
"16","Kristi","Roxbury"
"16","Mimi","Jamaica Plain"
"16","Brittney","South Boston"
"16","Ethan","Mission Hill"
"16","Gabe","East Boston"
"16","Susie","Charlestown"
"16","Kaitlin","Jamaica Plain"
"16","Bart","South Boston"
"16","Giovanni","nan"
"16","Greta","South End"
"16","Kathrin","Jamaica Plain"
"16","Kaitlyn","Back Bay"
"16","Cesar","Back Bay"
"16","Gretchen","Dorchester"
"16","Kai","Back Bay"
"16","Angel","Roslindale"
"16","Tatiana","Dorchester"
"15","Kylie","South Boston"
"15","Zack","Jamaica Plain"
"15","Kiran","West Roxbury"
"15","Virginie","South End"
"15","Manuela","East Boston"
"15","Charlene","Jamaica Plain"
"15","Denis","Back Bay"
"15","Giulia","nan"
"15","Sydney","Fenway/Kenmore"
"15","Sergey","South End"
"15","Lorraine","Jamaica Plain"
"15","Dianne","South Boston"
"15","Dominik","Roslindale"
"15","Iris","South Boston"
"15","Gwen","Back Bay"
"15","Yue","Allston-Brighton"
"15","Chantal","Back Bay"
"15","Alejandra","Roxbury"
"15","Beverly","Chinatown"
"15","Hao","Back Bay"
"15","Irina","Jamaica Plain"
"15","Pia","Jamaica Plain"
"15","Daniele","South Boston"
"15","Mélanie","Dorchester"
"15","Raphael","Roslindale"
"15","Alana","Roxbury"
"15","Christa","Beacon Hill"
"15","Frederick","Dorchester"
"15","Hans","Somerville"
"15","Nathaniel","Back Bay"
"15","Kristine","South End"
"15","Mandy","East Boston"
"15","Christiane","Dorchester"
"15","Elodie","Back Bay"
"15","Alina","South End"
"15","Hunter","Dorchester"
"15","Madeleine","South End"
"15","Xavier","Jamaica Plain"
"15","Tania","East Boston"
"15","Lynda","East Boston"
"15","Omar","Dorchester"
"15","Francois","Dorchester"
"14","Gemma","South End"
"14","Bobby","Roxbury"
"14","Geoff","Jamaica Plain"
"14","Minh","Roxbury"
"14","Thiago","East Boston"
"14","Taryn","Beacon Hill"
"14","Vince","Dorchester"
"14","Allie","nan"
"14","Mackenzie","Jamaica Plain"
"14","Rosa","Jamaica Plain"
"14","Karine","nan"
"14","Xin","Jamaica Plain"
"14","Noel","Jamaica Plain"
"14","Warren","Leather District"
"14","Lorena","Jamaica Plain"
"14","Boris","nan"
"14","Mohammed","nan"
"14","Anton","Dorchester"
"14","Marcia","Jamaica Plain"
"14","Dani","Charlestown"
"14","Yifan","East Boston"
"14","Lorenzo","Back Bay"
"14","Candice","Jamaica Plain"
"14","Eleanor","South Boston"
