Word,Rank,Frequency
youth,619,15
followed,620,15
afraid,621,15
countenance,622,15
proof,623,15
round,624,15
distress,625,15
town,626,15
claims,627,15
remain,628,15
cobb,629,14
looks,630,14
besides,631,14
consciousness,632,14
breakfast,633,14
agitation,634,14
struck,635,14
sat,636,14
comfortable,637,14
friendship,638,14
honour,639,14
fully,640,14
glance,641,14
improved,642,14
instantly,643,14
live,644,14
yourself,645,14
difference,646,14
necessary,647,14
girls,648,14
neighbourhood,649,14
ashamed,650,14
trouble,651,14
yesterday,652,14
london,653,14
easy,654,14
truth,655,14
turning,656,14
evil,657,14
justice,658,14
boy,659,14
getting,660,14
keep,661,14
future,662,14
sent,663,14
introduced,664,14
property,665,14
persuaded,666,14
sit,667,14
become,668,13
became,669,13
opportunity,670,13
fair,671,13
personal,672,13
share,673,13
play,674,13
interesting,675,13
pleasant,676,13
extraordinary,677,13
sake,678,13
listen,679,13
appear,680,13
read,681,13
due,682,13
itself,683,13
heir,684,13
regret,685,13
duty,686,13
bring,687,13
inn,688,13
danger,689,13
smile,690,13
tenant,691,13
forget,692,13
dine,693,13
moments,694,13
fixed,695,13
occupied,696,13
hint,697,13
along,698,13
pity,699,13
invitation,700,13
yours,701,13
altogether,702,13
dare,703,13
severe,704,13
cold,705,13
clear,706,13
tried,707,13
especially,708,13
navy,709,13
enjoyment,710,13
mentioned,711,13
strength,712,13
admitted,713,13
society,714,13
calling,715,13
greater,716,13
power,717,13
truly,718,12
stood,719,12
six,720,12
occasion,721,12
difficulties,722,12
exceedingly,723,12
directly,724,12
remained,725,12
letters,726,12
altered,727,12
smiling,728,12
eight,729,12
board,730,12
eldest,731,12
miles,732,12
spirit,733,12
wishing,734,12
thank,735,12
placed,736,12
promised,737,12
plan,738,12
pass,739,12
certain,740,12
putting,741,12
consider,742,12
recollect,743,12
sick,744,12
around,745,12
surprised,746,12
leaving,747,12
wait,748,12
mention,749,12
carteret,750,12
temper,751,12
desirable,752,12
begun,753,12
ten,754,12
growing,755,12
five,756,12
arm,757,11
written,758,11
spend,759,11
fond,760,11
gentlemen,761,11
satisfaction,762,11
bringing,763,11
occurred,764,11
chance,765,11
school,766,11
creature,767,11
horses,768,11
rank,769,11
spite,770,11
spring,771,11
scarcely,772,11
weather,773,11
card,774,11
eager,775,11
lodgings,776,11
wishes,777,11
shut,778,11
mere,779,11
baronet,780,11
direction,781,11
dignity,782,11
considering,783,11
servant,784,11
hints,785,11
death,786,11
seems,787,11
anxiety,788,11
required,789,11
depend,790,11
intercourse,791,11
rich,792,11
instant,793,11
nice,794,11
shirley,795,11
returning,796,11
pleasing,797,11
hers,798,11
effect,799,11
silence,800,11
inclination,801,11
observe,802,11
sitting,803,11
indulgence,804,11
useful,805,11
ma,806,11
sound,807,11
elegant,808,11
happened,809,11
confidence,810,11
reply,811,11
age,812,11
resolution,813,11
silent,814,11
winthrop,815,11
declare,816,11
warmth,817,11
domestic,818,11
importance,819,11
opinions,820,11
differently,821,11
humour,822,10
charm,823,10
reach,824,10
beauty,825,10
mine,826,10
report,827,10
ended,828,10
nay,829,10
admiration,830,10
misery,831,10
produced,832,10
joined,833,10
service,834,10
continually,835,10
god,836,10
birth,837,10
daughters,838,10
evidently,839,10
happen,840,10
weeks,841,10
peace,842,10
properly,843,10
several,844,10
summer,845,10
autumn,846,10
ideas,847,10
avoid,848,10
ask,849,10
winter,850,10
amusement,851,10
wanting,852,10
connexion,853,10
seven,854,10
tenderness,855,10
girl,856,10
sooner,857,10
re,858,10
excepting,859,10
astonishment,860,10
dr,861,10
credit,862,10
promise,863,10
vanity,864,10
books,865,10
suspense,866,10
fancied,867,10
order,868,10
wrong,869,10
confess,870,10
evident,871,10
lately,872,10
constant,873,10
merely,874,10
painful,875,10
suffer,876,10
superiority,877,10
smiled,878,10
forced,879,10
actually,880,10
join,881,10
affected,882,10
begin,883,10
indifference,884,10
sentiments,885,10
opened,886,10
expect,887,10
fit,888,10
gratitude,889,10
invited,890,10
rights,891,10
mamma,892,9
possibility,893,9
admit,894,9
comprehend,895,9
solicitude,896,9
village,897,9
afford,898,9
claim,899,9
persons,900,9
companion,901,9
enquiries,902,9
absence,903,9
following,904,9
quietly,905,9
anywhere,906,9
motive,907,9
venture,908,9
blessing,909,9
mistaken,910,9
