,Awards,col_final1,col_final2,col_final3
5606,1 win & 3 nominations., 3 nominations.,1 win ,0
5613,1 nomination.,0,1 nomination,
5614,1 nomination.,0,1 nomination,
5618,6 wins & 15 nominations., 15 nominations.,6 wins ,0
5630,3 wins & 5 nominations., 5 nominations.,3 wins ,0
5631,1 nomination.,0,1 nomination,
5637,1 nomination.,0,1 nomination,
5641,6 wins & 19 nominations., 19 nominations.,6 wins ,0
5644,1 win & 4 nominations., 4 nominations.,1 win ,0
5662,1 nomination.,0,1 nomination,
5671,1 nomination.,0,1 nomination,
5676,5 wins & 4 nominations., 4 nominations.,5 wins ,0
5677,5 wins & 6 nominations., 6 nominations.,5 wins ,0
5681,1 win.,0,1 win,
5682,1 win & 4 nominations., 4 nominations.,1 win ,0
5683,1 nomination.,0,1 nomination,
5684,1 win.,0,1 win,
5693,4 wins & 6 nominations., 6 nominations.,4 wins ,0
5727,Won 5 Primetime Emmys. Another 7 wins & 23 nominations., 23 nominations.,Won 5 Primetime Emmys, Another 7 wins 
5732,1 nomination.,0,1 nomination,
5734,1 nomination.,0,1 nomination,
5744,2 wins & 6 nominations., 6 nominations.,2 wins ,0
5748,6 wins & 12 nominations., 12 nominations.,6 wins ,0
5755,3 wins & 2 nominations., 2 nominations.,3 wins ,0
5762,1 win & 3 nominations., 3 nominations.,1 win ,0
5776,1 nomination.,0,1 nomination,
5787,1 win.,0,1 win,
5804,2 wins & 1 nomination., 1 nomination.,2 wins ,0
5809,12 wins & 10 nominations., 10 nominations.,12 wins ,0
5817,2 wins & 2 nominations., 2 nominations.,2 wins ,0
5820,1 win.,0,1 win,
5821,1 win & 2 nominations., 2 nominations.,1 win ,0
5822,1 win & 1 nomination., 1 nomination.,1 win ,0
5823,1 nomination.,0,1 nomination,
5824,5 wins & 15 nominations., 15 nominations.,5 wins ,0
5835,2 nominations.,0,2 nominations,
5839,2 nominations.,0,2 nominations,
5844,1 win & 1 nomination., 1 nomination.,1 win ,0
5845,4 wins & 7 nominations., 7 nominations.,4 wins ,0
5851,1 win.,0,1 win,
5868,2 nominations.,0,2 nominations,
5883,Won 1 Oscar. Another 2 wins & 1 nomination., 1 nomination.,Won 1 Oscar, Another 2 wins 
5900,1 nomination.,0,1 nomination,
5902,4 wins & 14 nominations., 14 nominations.,4 wins ,0
5907,1 nomination.,0,1 nomination,
5917,20 wins & 19 nominations., 19 nominations.,20 wins ,0
5922,1 nomination.,0,1 nomination,
5929,6 wins & 2 nominations., 2 nominations.,6 wins ,0
5930,1 win.,0,1 win,
5931,1 nomination.,0,1 nomination,
5937,1 win.,0,1 win,
5949,1 nomination.,0,1 nomination,
5951,1 win & 1 nomination., 1 nomination.,1 win ,0
5954,2 wins.,0,2 wins,
5965,1 win & 4 nominations., 4 nominations.,1 win ,0
5968,2 wins & 3 nominations., 3 nominations.,2 wins ,0
5970,2 wins.,0,2 wins,
5971,3 wins & 12 nominations., 12 nominations.,3 wins ,0
5985,8 nominations.,0,8 nominations,
5993,5 nominations.,0,5 nominations,
5995,1 nomination.,0,1 nomination,
5997,5 nominations.,0,5 nominations,
6004,1 win & 1 nomination., 1 nomination.,1 win ,0
6006,1 nomination.,0,1 nomination,
6007,1 win & 5 nominations., 5 nominations.,1 win ,0
6008,1 win.,0,1 win,
6020,1 nomination.,0,1 nomination,
6021,1 win & 1 nomination., 1 nomination.,1 win ,0
6036,1 win & 1 nomination., 1 nomination.,1 win ,0
6040,1 win & 4 nominations., 4 nominations.,1 win ,0
6046,2 nominations.,0,2 nominations,
6050,6 nominations.,0,6 nominations,
6075,2 wins & 1 nomination., 1 nomination.,2 wins ,0
6080,1 nomination.,0,1 nomination,
6090,2 wins & 2 nominations., 2 nominations.,2 wins ,0
6127,2 wins & 5 nominations., 5 nominations.,2 wins ,0
6137,2 wins & 5 nominations., 5 nominations.,2 wins ,0
6138,2 wins & 3 nominations., 3 nominations.,2 wins ,0
6144,1 win & 12 nominations., 12 nominations.,1 win ,0
6148,1 win & 5 nominations., 5 nominations.,1 win ,0
6150,1 nomination.,0,1 nomination,
6151,3 wins & 17 nominations., 17 nominations.,3 wins ,0
6163,1 nomination.,0,1 nomination,
6169,1 win & 2 nominations., 2 nominations.,1 win ,0
6175,1 nomination.,0,1 nomination,
6179,1 nomination.,0,1 nomination,
6181,5 nominations.,0,5 nominations,
6201,1 nomination.,0,1 nomination,
6209,Won 2 Primetime Emmys. Another 3 wins & 5 nominations., 5 nominations.,Won 2 Primetime Emmys, Another 3 wins 
6220,1 win & 1 nomination., 1 nomination.,1 win ,0
6222,2 nominations.,0,2 nominations,
6231,Won 1 Primetime Emmy. Another 1 nomination.,0,Won 1 Primetime Emmy, Another 1 nomination
6234,1 win & 3 nominations., 3 nominations.,1 win ,0
6235,6 wins & 4 nominations., 4 nominations.,6 wins ,0
6240,2 wins.,0,2 wins,
6241,2 wins & 2 nominations., 2 nominations.,2 wins ,0
6249,1 win.,0,1 win,
6254,8 wins & 2 nominations., 2 nominations.,8 wins ,0
6265,1 nomination.,0,1 nomination,
6268,1 nomination.,0,1 nomination,
6271,1 nomination.,0,1 nomination,
6280,1 win.,0,1 win,
6298,1 nomination.,0,1 nomination,
6306,3 wins & 8 nominations., 8 nominations.,3 wins ,0
6334,1 win.,0,1 win,
6337,4 wins & 11 nominations., 11 nominations.,4 wins ,0
6343,5 wins & 6 nominations., 6 nominations.,5 wins ,0
6347,1 win & 1 nomination., 1 nomination.,1 win ,0
6350,2 nominations.,0,2 nominations,
6371,1 nomination.,0,1 nomination,
6376,2 nominations.,0,2 nominations,
6377,1 win.,0,1 win,
6383,1 nomination.,0,1 nomination,
6390,1 nomination.,0,1 nomination,
6398,1 win.,0,1 win,
6409,2 nominations.,0,2 nominations,
6410,1 nomination.,0,1 nomination,
6419,6 nominations.,0,6 nominations,
6425,8 wins.,0,8 wins,
6447,15 wins & 30 nominations., 30 nominations.,15 wins ,0
6468,1 nomination.,0,1 nomination,
6473,2 wins.,0,2 wins,
6477,Won 1 Primetime Emmy. Another 1 win & 21 nominations., 21 nominations.,Won 1 Primetime Emmy, Another 1 win 
6481,1 nomination.,0,1 nomination,
6483,2 nominations.,0,2 nominations,
6500,1 win & 1 nomination., 1 nomination.,1 win ,0
6516,2 wins & 2 nominations., 2 nominations.,2 wins ,0
6522,1 win.,0,1 win,
6524,2 nominations.,0,2 nominations,
6534,1 win.,0,1 win,
6577,Nominated for 1 Golden Globe. Another 8 wins & 16 nominations., 16 nominations.,Nominated for 1 Golden Globe, Another 8 wins 
6578,Won 1 Primetime Emmy. Another 2 wins.,0,Won 1 Primetime Emmy, Another 2 wins
6594,7 wins & 8 nominations., 8 nominations.,7 wins ,0
6598,1 win.,0,1 win,
6599,2 wins & 1 nomination., 1 nomination.,2 wins ,0
6600,1 win.,0,1 win,
6601,1 win & 1 nomination., 1 nomination.,1 win ,0
6609,1 nomination.,0,1 nomination,
6621,2 wins & 2 nominations., 2 nominations.,2 wins ,0
6622,1 nomination.,0,1 nomination,
6634,1 nomination.,0,1 nomination,
6657,1 win & 1 nomination., 1 nomination.,1 win ,0
6660,5 wins.,0,5 wins,
6663,3 nominations.,0,3 nominations,
6664,4 nominations.,0,4 nominations,
6675,3 wins & 4 nominations., 4 nominations.,3 wins ,0
6682,1 nomination.,0,1 nomination,
6691,1 win.,0,1 win,
6697,1 nomination.,0,1 nomination,
6705,1 nomination.,0,1 nomination,
6714,1 win & 2 nominations., 2 nominations.,1 win ,0
6722,3 nominations.,0,3 nominations,
6724,1 nomination.,0,1 nomination,
6799,4 wins.,0,4 wins,
6803,1 win & 2 nominations., 2 nominations.,1 win ,0
6806,1 win & 2 nominations., 2 nominations.,1 win ,0
6808,1 nomination.,0,1 nomination,
6816,2 nominations.,0,2 nominations,
6828,1 win.,0,1 win,
6837,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,Nominated for 1 Primetime Emmy, Another 1 nomination
6867,3 wins & 4 nominations., 4 nominations.,3 wins ,0
6874,1 win & 1 nomination., 1 nomination.,1 win ,0
6890,6 wins & 3 nominations., 3 nominations.,6 wins ,0
6893,4 wins & 2 nominations., 2 nominations.,4 wins ,0
6900,1 win & 2 nominations., 2 nominations.,1 win ,0
6904,1 win & 6 nominations., 6 nominations.,1 win ,0
6912,5 wins & 3 nominations., 3 nominations.,5 wins ,0
6918,Nominated for 1 Oscar. Another 4 wins & 9 nominations., 9 nominations.,Nominated for 1 Oscar, Another 4 wins 
6920,2 wins.,0,2 wins,
6921,Won 2 Primetime Emmys. Another 3 nominations.,0,Won 2 Primetime Emmys, Another 3 nominations
6929,2 wins & 1 nomination., 1 nomination.,2 wins ,0
6933,4 wins.,0,4 wins,
6946,1 win & 2 nominations., 2 nominations.,1 win ,0
6963,9 wins & 1 nomination., 1 nomination.,9 wins ,0
6969,1 win.,0,1 win,
6970,5 nominations.,0,5 nominations,
6976,1 win & 1 nomination., 1 nomination.,1 win ,0
6985,3 wins & 1 nomination., 1 nomination.,3 wins ,0
6986,1 win & 1 nomination., 1 nomination.,1 win ,0
7001,1 win.,0,1 win,
7006,4 wins & 3 nominations., 3 nominations.,4 wins ,0
7008,2 wins & 4 nominations., 4 nominations.,2 wins ,0
7022,9 wins & 7 nominations., 7 nominations.,9 wins ,0
7031,2 wins.,0,2 wins,
7045,3 wins & 3 nominations., 3 nominations.,3 wins ,0
7061,2 nominations.,0,2 nominations,
7072,8 wins & 3 nominations., 3 nominations.,8 wins ,0
7076,1 nomination.,0,1 nomination,
7083,6 wins & 25 nominations., 25 nominations.,6 wins ,0
7091,1 win.,0,1 win,
7100,1 nomination.,0,1 nomination,
7101,1 nomination.,0,1 nomination,
7119,2 wins.,0,2 wins,
7129,2 wins & 16 nominations., 16 nominations.,2 wins ,0
7133,1 nomination.,0,1 nomination,
7142,2 nominations.,0,2 nominations,
7162,1 win & 1 nomination., 1 nomination.,1 win ,0
7171,1 win & 5 nominations., 5 nominations.,1 win ,0
7176,1 nomination.,0,1 nomination,
7184,15 wins & 20 nominations., 20 nominations.,15 wins ,0
7190,1 nomination.,0,1 nomination,
7215,1 win.,0,1 win,
7217,1 win & 3 nominations., 3 nominations.,1 win ,0
7230,2 wins & 5 nominations., 5 nominations.,2 wins ,0
7239,1 win.,0,1 win,
7245,4 wins & 10 nominations., 10 nominations.,4 wins ,0
7252,2 wins & 6 nominations., 6 nominations.,2 wins ,0
7255,1 nomination.,0,1 nomination,
7263,4 wins & 4 nominations., 4 nominations.,4 wins ,0
7270,1 win & 3 nominations., 3 nominations.,1 win ,0
7310,1 win & 1 nomination., 1 nomination.,1 win ,0
7339,1 win & 1 nomination., 1 nomination.,1 win ,0
7361,1 win & 6 nominations., 6 nominations.,1 win ,0
7371,1 win & 2 nominations., 2 nominations.,1 win ,0
7374,2 nominations.,0,2 nominations,
7389,Won 2 Primetime Emmys. Another 7 wins & 23 nominations., 23 nominations.,Won 2 Primetime Emmys, Another 7 wins 
7403,3 wins.,0,3 wins,
7405,2 wins.,0,2 wins,
7415,7 wins & 9 nominations., 9 nominations.,7 wins ,0
7426,1 nomination.,0,1 nomination,
7429,2 wins.,0,2 wins,
7431,2 nominations.,0,2 nominations,
7433,2 wins & 3 nominations., 3 nominations.,2 wins ,0
7451,6 wins.,0,6 wins,
7455,3 nominations.,0,3 nominations,
7467,9 wins & 5 nominations., 5 nominations.,9 wins ,0
7473,1 nomination.,0,1 nomination,
7475,6 wins & 7 nominations., 7 nominations.,6 wins ,0
7476,1 nomination.,0,1 nomination,
7491,2 nominations.,0,2 nominations,
7492,2 wins & 1 nomination., 1 nomination.,2 wins ,0
7499,1 nomination.,0,1 nomination,
7502,1 nomination.,0,1 nomination,
7504,1 nomination.,0,1 nomination,
7513,5 nominations.,0,5 nominations,
7528,Nominated for 4 Primetime Emmys. Another 18 wins & 40 nominations., 40 nominations.,Nominated for 4 Primetime Emmys, Another 18 wins 
7540,2 wins & 2 nominations., 2 nominations.,2 wins ,0
7543,1 win.,0,1 win,
7550,1 win.,0,1 win,
7559,1 nomination.,0,1 nomination,
7561,Won 2 Golden Globes. Another 3 wins & 3 nominations., 3 nominations.,Won 2 Golden Globes, Another 3 wins 
7563,Nominated for 1 Primetime Emmy. Another 4 nominations.,0,Nominated for 1 Primetime Emmy, Another 4 nominations
7576,5 wins.,0,5 wins,
7583,1 win & 3 nominations., 3 nominations.,1 win ,0
7597,1 win.,0,1 win,
7621,1 nomination.,0,1 nomination,
7632,1 nomination.,0,1 nomination,
7633,2 nominations.,0,2 nominations,
7636,1 nomination.,0,1 nomination,
7642,1 win.,0,1 win,
7652,8 wins.,0,8 wins,
7664,1 nomination.,0,1 nomination,
7674,1 nomination.,0,1 nomination,
7683,1 nomination.,0,1 nomination,
7688,1 nomination.,0,1 nomination,
7698,3 wins & 2 nominations., 2 nominations.,3 wins ,0
7718,1 win.,0,1 win,
7724,1 nomination.,0,1 nomination,
7732,2 nominations.,0,2 nominations,
7734,1 win & 2 nominations., 2 nominations.,1 win ,0
7735,1 win.,0,1 win,
7736,1 win.,0,1 win,
7742,1 nomination.,0,1 nomination,
7751,Won 1 Golden Globe. Another 12 wins & 39 nominations., 39 nominations.,Won 1 Golden Globe, Another 12 wins 
7753,1 win.,0,1 win,
7756,1 win & 1 nomination., 1 nomination.,1 win ,0
7759,3 wins & 5 nominations., 5 nominations.,3 wins ,0
7779,1 win.,0,1 win,
7790,6 nominations.,0,6 nominations,
7794,1 win.,0,1 win,
7813,1 nomination.,0,1 nomination,
7814,1 win & 2 nominations., 2 nominations.,1 win ,0
7823,2 nominations.,0,2 nominations,
7840,1 nomination.,0,1 nomination,
7855,6 wins & 2 nominations., 2 nominations.,6 wins ,0
7886,1 win.,0,1 win,
7902,2 nominations.,0,2 nominations,
7907,1 nomination.,0,1 nomination,
7923,1 nomination.,0,1 nomination,
7924,1 win & 2 nominations., 2 nominations.,1 win ,0
7967,1 win.,0,1 win,
7978,2 nominations.,0,2 nominations,
7986,1 win.,0,1 win,
7989,2 nominations.,0,2 nominations,
7994,2 nominations.,0,2 nominations,
8003,1 nomination.,0,1 nomination,
8014,1 nomination.,0,1 nomination,
8028,1 win & 1 nomination., 1 nomination.,1 win ,0
8053,1 win.,0,1 win,
8056,3 nominations.,0,3 nominations,
8061,1 nomination.,0,1 nomination,
8066,1 win & 1 nomination., 1 nomination.,1 win ,0
8068,1 win.,0,1 win,
8071,1 win & 2 nominations., 2 nominations.,1 win ,0
8121,2 wins & 1 nomination., 1 nomination.,2 wins ,0
8125,1 nomination.,0,1 nomination,
8130,1 nomination.,0,1 nomination,
8132,2 wins.,0,2 wins,
8133,1 nomination.,0,1 nomination,
8136,1 win & 1 nomination., 1 nomination.,1 win ,0
8166,8 nominations.,0,8 nominations,
8176,3 wins & 2 nominations., 2 nominations.,3 wins ,0
8192,15 wins & 6 nominations., 6 nominations.,15 wins ,0
8205,1 nomination.,0,1 nomination,
8232,1 nomination.,0,1 nomination,
8259,1 win.,0,1 win,
8265,1 win.,0,1 win,
8288,1 win & 1 nomination., 1 nomination.,1 win ,0
8320,1 nomination.,0,1 nomination,
8333,1 win & 2 nominations., 2 nominations.,1 win ,0
8338,2 nominations.,0,2 nominations,
8346,1 nomination.,0,1 nomination,
8349,1 win.,0,1 win,
8445,2 wins.,0,2 wins,
8452,1 win & 1 nomination., 1 nomination.,1 win ,0
8453,4 wins & 7 nominations., 7 nominations.,4 wins ,0
8474,4 nominations.,0,4 nominations,
8478,1 nomination.,0,1 nomination,
8486,5 wins & 11 nominations., 11 nominations.,5 wins ,0
8516,1 nomination.,0,1 nomination,
8524,1 nomination.,0,1 nomination,
8529,1 nomination.,0,1 nomination,
8543,1 win & 1 nomination., 1 nomination.,1 win ,0
8546,1 nomination.,0,1 nomination,
8550,1 nomination.,0,1 nomination,
8552,1 nomination.,0,1 nomination,
8567,1 nomination.,0,1 nomination,
8583,1 win & 2 nominations., 2 nominations.,1 win ,0
8589,1 win & 14 nominations., 14 nominations.,1 win ,0
8623,4 wins & 1 nomination., 1 nomination.,4 wins ,0
8688,5 nominations.,0,5 nominations,
8690,1 nomination.,0,1 nomination,
8693,3 wins & 1 nomination., 1 nomination.,3 wins ,0
8728,8 wins & 15 nominations., 15 nominations.,8 wins ,0
8736,4 wins & 1 nomination., 1 nomination.,4 wins ,0
8738,4 nominations.,0,4 nominations,
8757,1 nomination.,0,1 nomination,
8772,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,Nominated for 1 Primetime Emmy, Another 1 nomination
8775,1 win & 3 nominations., 3 nominations.,1 win ,0
8779,1 win.,0,1 win,
8781,1 win & 1 nomination., 1 nomination.,1 win ,0
8788,1 nomination.,0,1 nomination,
8810,2 nominations.,0,2 nominations,
8821,1 win.,0,1 win,
8823,3 nominations.,0,3 nominations,
8833,1 win & 2 nominations., 2 nominations.,1 win ,0
8835,3 nominations.,0,3 nominations,
8846,1 win & 3 nominations., 3 nominations.,1 win ,0
8864,1 nomination.,0,1 nomination,
8872,1 nomination.,0,1 nomination,
8941,1 win & 1 nomination., 1 nomination.,1 win ,0
8942,1 win & 2 nominations., 2 nominations.,1 win ,0
8947,1 win & 3 nominations., 3 nominations.,1 win ,0
9033,2 wins & 5 nominations., 5 nominations.,2 wins ,0
9034,1 win.,0,1 win,
9037,2 nominations.,0,2 nominations,
9038,4 wins & 5 nominations., 5 nominations.,4 wins ,0
9049,1 win.,0,1 win,
9051,1 nomination.,0,1 nomination,
9053,3 wins & 7 nominations., 7 nominations.,3 wins ,0
9059,2 wins & 3 nominations., 3 nominations.,2 wins ,0
9092,1 nomination.,0,1 nomination,
9108,2 nominations.,0,2 nominations,
9111,1 nomination.,0,1 nomination,
9124,4 wins & 2 nominations., 2 nominations.,4 wins ,0
9136,2 wins & 3 nominations., 3 nominations.,2 wins ,0
9147,1 nomination.,0,1 nomination,
9150,2 wins.,0,2 wins,
9171,1 win.,0,1 win,
9174,1 win & 1 nomination., 1 nomination.,1 win ,0
9187,3 nominations.,0,3 nominations,
9197,2 wins & 1 nomination., 1 nomination.,2 wins ,0
9210,6 wins & 5 nominations., 5 nominations.,6 wins ,0
9225,1 nomination.,0,1 nomination,
9228,2 wins & 1 nomination., 1 nomination.,2 wins ,0
9260,Nominated for 1 Primetime Emmy. Another 1 win & 6 nominations., 6 nominations.,Nominated for 1 Primetime Emmy, Another 1 win 
9266,1 nomination.,0,1 nomination,
9278,1 nomination.,0,1 nomination,
9287,2 wins.,0,2 wins,
9297,1 nomination.,0,1 nomination,
9308,1 nomination.,0,1 nomination,
9311,2 wins & 4 nominations., 4 nominations.,2 wins ,0
9312,1 win & 1 nomination., 1 nomination.,1 win ,0
9344,1 nomination.,0,1 nomination,
9395,1 win & 1 nomination., 1 nomination.,1 win ,0
9425,1 win.,0,1 win,
9475,2 nominations.,0,2 nominations,
9486,1 nomination.,0,1 nomination,
9507,1 nomination.,0,1 nomination,
9514,1 nomination.,0,1 nomination,
9530,2 wins & 2 nominations., 2 nominations.,2 wins ,0
9541,1 nomination.,0,1 nomination,
9544,1 win.,0,1 win,
9552,2 nominations.,0,2 nominations,
9577,2 nominations.,0,2 nominations,
9580,2 nominations.,0,2 nominations,
9581,2 nominations.,0,2 nominations,
9595,1 win & 11 nominations., 11 nominations.,1 win ,0
9657,1 win.,0,1 win,
9677,1 nomination.,0,1 nomination,
9686,3 nominations.,0,3 nominations,
9711,1 win.,0,1 win,
9735,1 win.,0,1 win,
9739,1 nomination.,0,1 nomination,
9740,1 nomination.,0,1 nomination,
9742,1 nomination.,0,1 nomination,
9747,1 nomination.,0,1 nomination,
9750,1 win.,0,1 win,
9783,1 nomination.,0,1 nomination,
9784,2 wins.,0,2 wins,
9841,1 nomination.,0,1 nomination,
9844,1 win.,0,1 win,
9845,1 nomination.,0,1 nomination,
9895,4 wins & 7 nominations., 7 nominations.,4 wins ,0
9917,1 nomination.,0,1 nomination,
9921,1 win & 1 nomination., 1 nomination.,1 win ,0
10003,1 win.,0,1 win,
10062,1 nomination.,0,1 nomination,
10151,1 nomination.,0,1 nomination,
10184,2 nominations.,0,2 nominations,
10239,3 wins & 4 nominations., 4 nominations.,3 wins ,0
10269,1 win.,0,1 win,
10323,1 win.,0,1 win,
10348,1 nomination.,0,1 nomination,
10356,1 nomination.,0,1 nomination,
10546,Nominated for 5 Oscars. Another 6 wins & 1 nomination., 1 nomination.,Nominated for 5 Oscars, Another 6 wins 
10550,1 nomination.,0,1 nomination,
10551,1 win.,0,1 win,
10552,1 win.,0,1 win,
10553,Won 18 Primetime Emmys. Another 16 wins & 60 nominations., 60 nominations.,Won 18 Primetime Emmys, Another 16 wins 
10554,Won 7 Primetime Emmys. Another 25 wins & 84 nominations., 84 nominations.,Won 7 Primetime Emmys, Another 25 wins 
10555,2 nominations.,0,2 nominations,
10556,Nominated for 2 Oscars. Another 14 wins & 56 nominations., 56 nominations.,Nominated for 2 Oscars, Another 14 wins 
10559,4 wins & 2 nominations., 2 nominations.,4 wins ,0
10560,1 win & 5 nominations., 5 nominations.,1 win ,0
10561,6 wins & 53 nominations., 53 nominations.,6 wins ,0
10562,Nominated for 1 BAFTA Film Award. Another 2 wins & 28 nominations., 28 nominations.,Nominated for 1 BAFTA Film Award, Another 2 wins 
10563,3 wins.,0,3 wins,
10569,2 wins & 4 nominations., 4 nominations.,2 wins ,0
10572,3 nominations.,0,3 nominations,
10575,2 wins & 5 nominations., 5 nominations.,2 wins ,0
10577,1 nomination.,0,1 nomination,
10580,1 win.,0,1 win,
10586,4 nominations.,0,4 nominations,
10590,7 nominations.,0,7 nominations,
10593,2 wins & 6 nominations., 6 nominations.,2 wins ,0
10595,4 wins & 11 nominations., 11 nominations.,4 wins ,0
10610,1 win & 2 nominations., 2 nominations.,1 win ,0
10614,Nominated for 1 Oscar. Another 8 wins & 28 nominations., 28 nominations.,Nominated for 1 Oscar, Another 8 wins 
10617,2 nominations.,0,2 nominations,
10621,1 nomination.,0,1 nomination,
10622,1 nomination.,0,1 nomination,
10623,1 nomination.,0,1 nomination,
10626,1 win & 8 nominations., 8 nominations.,1 win ,0
10628,17 wins & 32 nominations., 32 nominations.,17 wins ,0
10635,1 win & 3 nominations., 3 nominations.,1 win ,0
10636,1 win & 3 nominations., 3 nominations.,1 win ,0
10639,17 wins & 28 nominations., 28 nominations.,17 wins ,0
10640,2 wins & 16 nominations., 16 nominations.,2 wins ,0
10641,2 wins & 2 nominations., 2 nominations.,2 wins ,0
10642,Nominated for 1 Golden Globe. Another 5 wins & 39 nominations., 39 nominations.,Nominated for 1 Golden Globe, Another 5 wins 
10643,2 nominations.,0,2 nominations,
10644,3 nominations.,0,3 nominations,
10645,1 win & 1 nomination., 1 nomination.,1 win ,0
10647,2 nominations.,0,2 nominations,
10649,Won 1 Oscar. Another 91 wins & 95 nominations., 95 nominations.,Won 1 Oscar, Another 91 wins 
10651,3 wins & 3 nominations., 3 nominations.,3 wins ,0
10652,5 wins & 10 nominations., 10 nominations.,5 wins ,0
10653,1 win.,0,1 win,
10654,10 nominations.,0,10 nominations,
10657,1 nomination.,0,1 nomination,
10658,1 win.,0,1 win,
10665,2 wins & 8 nominations., 8 nominations.,2 wins ,0
10666,1 win & 2 nominations., 2 nominations.,1 win ,0
10669,2 nominations.,0,2 nominations,
10670,2 wins & 1 nomination., 1 nomination.,2 wins ,0
10673,2 wins & 2 nominations., 2 nominations.,2 wins ,0
10674,1 win & 6 nominations., 6 nominations.,1 win ,0
10676,Nominated for 1 BAFTA Film Award. Another 1 win & 18 nominations., 18 nominations.,Nominated for 1 BAFTA Film Award, Another 1 win 
10677,1 nomination.,0,1 nomination,
10678,1 nomination.,0,1 nomination,
10679,Nominated for 1 Oscar. Another 9 wins & 18 nominations., 18 nominations.,Nominated for 1 Oscar, Another 9 wins 
10681,1 win.,0,1 win,
10684,Won 1 Oscar. Another 7 wins & 29 nominations., 29 nominations.,Won 1 Oscar, Another 7 wins 
10685,Nominated for 3 Oscars. Another 32 wins & 141 nominations., 141 nominations.,Nominated for 3 Oscars, Another 32 wins 
10687,2 wins & 18 nominations., 18 nominations.,2 wins ,0
10690,5 wins & 41 nominations., 41 nominations.,5 wins ,0
10692,7 wins & 14 nominations., 14 nominations.,7 wins ,0
10694,1 win & 6 nominations., 6 nominations.,1 win ,0
10696,2 wins & 10 nominations., 10 nominations.,2 wins ,0
10697,Nominated for 1 Golden Globe. Another 1 win & 44 nominations., 44 nominations.,Nominated for 1 Golden Globe, Another 1 win 
10699,2 nominations.,0,2 nominations,
10700,Nominated for 5 Oscars. Another 47 wins & 106 nominations., 106 nominations.,Nominated for 5 Oscars, Another 47 wins 
10701,Won 1 Golden Globe. Another 2 wins & 17 nominations., 17 nominations.,Won 1 Golden Globe, Another 2 wins 
10703,1 win & 10 nominations., 10 nominations.,1 win ,0
10704,1 nomination.,0,1 nomination,
10706,2 wins.,0,2 wins,
10707,6 wins & 33 nominations., 33 nominations.,6 wins ,0
10708,1 nomination.,0,1 nomination,
10711,2 nominations.,0,2 nominations,
10713,3 nominations.,0,3 nominations,
10720,1 win & 1 nomination., 1 nomination.,1 win ,0
10721,1 win & 1 nomination., 1 nomination.,1 win ,0
10722,1 nomination.,0,1 nomination,
10726,6 wins.,0,6 wins,
10727,1 nomination.,0,1 nomination,
10728,1 win & 1 nomination., 1 nomination.,1 win ,0
10729,7 nominations.,0,7 nominations,
10732,2 wins.,0,2 wins,
10734,Won 9 Primetime Emmys. Another 17 wins & 17 nominations., 17 nominations.,Won 9 Primetime Emmys, Another 17 wins 
10735,1 win.,0,1 win,
10736,1 nomination.,0,1 nomination,
10741,1 win.,0,1 win,
10742,Nominated for 1 Oscar. Another 2 wins & 49 nominations., 49 nominations.,Nominated for 1 Oscar, Another 2 wins 
10743,5 nominations.,0,5 nominations,
10745,1 nomination.,0,1 nomination,
10746,1 nomination.,0,1 nomination,
10752,2 wins & 4 nominations., 4 nominations.,2 wins ,0
10758,1 win & 7 nominations., 7 nominations.,1 win ,0
10762,1 win & 2 nominations., 2 nominations.,1 win ,0
10766,Nominated for 1 Golden Globe. Another 10 wins & 53 nominations., 53 nominations.,Nominated for 1 Golden Globe, Another 10 wins 
10767,2 nominations.,0,2 nominations,
10769,5 nominations.,0,5 nominations,
10771,2 wins & 4 nominations., 4 nominations.,2 wins ,0
10780,1 win.,0,1 win,
10794,1 win.,0,1 win,
10795,1 nomination.,0,1 nomination,
10796,3 wins & 4 nominations., 4 nominations.,3 wins ,0
10799,2 wins & 2 nominations., 2 nominations.,2 wins ,0
10800,4 wins.,0,4 wins,
10805,8 wins & 22 nominations., 22 nominations.,8 wins ,0
10806,1 nomination.,0,1 nomination,
10807,1 win & 1 nomination., 1 nomination.,1 win ,0
10810,1 nomination.,0,1 nomination,
10811,1 win.,0,1 win,
10813,Nominated for 5 Primetime Emmys. Another 12 nominations.,0,Nominated for 5 Primetime Emmys, Another 12 nominations
10822,1 win & 4 nominations., 4 nominations.,1 win ,0
10825,2 nominations.,0,2 nominations,
10836,Nominated for 7 Primetime Emmys. Another 1 win & 26 nominations., 26 nominations.,Nominated for 7 Primetime Emmys, Another 1 win 
10837,Nominated for 5 Primetime Emmys. Another 2 wins & 11 nominations., 11 nominations.,Nominated for 5 Primetime Emmys, Another 2 wins 
10843,Nominated for 11 Primetime Emmys. Another 7 wins & 26 nominations., 26 nominations.,Nominated for 11 Primetime Emmys, Another 7 wins 
10847,2 wins.,0,2 wins,
10852,3 wins & 1 nomination., 1 nomination.,3 wins ,0
10854,1 nomination.,0,1 nomination,
10861,2 nominations.,0,2 nominations,
10865,1 nomination.,0,1 nomination,
10866,1 win.,0,1 win,
10872,1 win.,0,1 win,
10881,1 win & 1 nomination., 1 nomination.,1 win ,0
10882,1 win.,0,1 win,
