,Awards,col_final1,col_final2,col_final3
4773,3 wins & 2 nominations., 2 nominations.,3 wins ,0
4774,Nominated for 3 Primetime Emmys. Another 14 nominations.,0,Nominated for 3 Primetime Emmys, Another 14 nominations
4775,3 wins & 7 nominations., 7 nominations.,3 wins ,0
4777,2 nominations.,0,2 nominations,
4779,5 wins & 31 nominations., 31 nominations.,5 wins ,0
4780,11 wins & 34 nominations., 34 nominations.,11 wins ,0
4782,2 wins & 2 nominations., 2 nominations.,2 wins ,0
4783,Nominated for 1 Oscar. Another 13 wins & 59 nominations., 59 nominations.,Nominated for 1 Oscar, Another 13 wins 
4784,1 win & 7 nominations., 7 nominations.,1 win ,0
4785,1 nomination.,0,1 nomination,
4787,Nominated for 1 BAFTA Film Award. Another 5 wins & 42 nominations., 42 nominations.,Nominated for 1 BAFTA Film Award, Another 5 wins 
4789,1 win & 3 nominations., 3 nominations.,1 win ,0
4794,Nominated for 2 Oscars. Another 12 wins & 63 nominations., 63 nominations.,Nominated for 2 Oscars, Another 12 wins 
4795,1 nomination.,0,1 nomination,
4796,5 nominations.,0,5 nominations,
4797,1 nomination.,0,1 nomination,
4798,1 win & 7 nominations., 7 nominations.,1 win ,0
4800,14 wins.,0,14 wins,
4801,3 nominations.,0,3 nominations,
4802,2 wins.,0,2 wins,
4803,1 win & 6 nominations., 6 nominations.,1 win ,0
4807,2 wins & 3 nominations., 3 nominations.,2 wins ,0
4808,8 nominations.,0,8 nominations,
4809,1 nomination.,0,1 nomination,
4811,4 wins & 10 nominations., 10 nominations.,4 wins ,0
4812,2 wins & 16 nominations., 16 nominations.,2 wins ,0
4814,3 wins & 7 nominations., 7 nominations.,3 wins ,0
4816,1 win & 4 nominations., 4 nominations.,1 win ,0
4817,1 nomination.,0,1 nomination,
4819,2 wins & 5 nominations., 5 nominations.,2 wins ,0
4820,1 win & 1 nomination., 1 nomination.,1 win ,0
4822,1 win.,0,1 win,
4823,2 nominations.,0,2 nominations,
4825,Nominated for 1 Oscar. Another 5 wins & 49 nominations., 49 nominations.,Nominated for 1 Oscar, Another 5 wins 
4826,18 wins & 22 nominations., 22 nominations.,18 wins ,0
4827,Won 2 Golden Globes. Another 25 wins & 162 nominations., 162 nominations.,Won 2 Golden Globes, Another 25 wins 
4829,1 win & 11 nominations., 11 nominations.,1 win ,0
4830,Nominated for 1 Oscar. Another 11 wins & 21 nominations., 21 nominations.,Nominated for 1 Oscar, Another 11 wins 
4833,3 wins & 29 nominations., 29 nominations.,3 wins ,0
4834,Nominated for 1 Oscar. Another 15 wins & 42 nominations., 42 nominations.,Nominated for 1 Oscar, Another 15 wins 
4838,9 wins & 4 nominations., 4 nominations.,9 wins ,0
4839,8 wins & 21 nominations., 21 nominations.,8 wins ,0
4840,1 win & 10 nominations., 10 nominations.,1 win ,0
4841,1 win & 6 nominations., 6 nominations.,1 win ,0
4842,1 win.,0,1 win,
4844,Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations., 4 nominations.,Nominated for 1 BAFTA Film Award, Another 2 wins 
4845,1 nomination.,0,1 nomination,
4847,2 nominations.,0,2 nominations,
4851,5 wins & 7 nominations., 7 nominations.,5 wins ,0
4852,2 nominations.,0,2 nominations,
4855,2 wins & 6 nominations., 6 nominations.,2 wins ,0
4856,Nominated for 1 Golden Globe. Another 21 wins & 59 nominations., 59 nominations.,Nominated for 1 Golden Globe, Another 21 wins 
4857,Nominated for 1 Golden Globe. Another 16 wins & 26 nominations., 26 nominations.,Nominated for 1 Golden Globe, Another 16 wins 
4860,2 wins & 3 nominations., 3 nominations.,2 wins ,0
4861,1 win.,0,1 win,
4862,8 wins & 6 nominations., 6 nominations.,8 wins ,0
4863,2 wins & 1 nomination., 1 nomination.,2 wins ,0
4864,2 wins & 5 nominations., 5 nominations.,2 wins ,0
4865,1 win.,0,1 win,
4867,2 wins & 18 nominations., 18 nominations.,2 wins ,0
4868,16 nominations.,0,16 nominations,
4869,3 nominations.,0,3 nominations,
4870,6 wins & 11 nominations., 11 nominations.,6 wins ,0
4871,2 nominations.,0,2 nominations,
4872,Nominated for 2 Oscars. Another 48 wins & 92 nominations., 92 nominations.,Nominated for 2 Oscars, Another 48 wins 
4873,1 nomination.,0,1 nomination,
4874,Nominated for 1 Oscar. Another 3 wins & 45 nominations., 45 nominations.,Nominated for 1 Oscar, Another 3 wins 
4875,Won 1 Primetime Emmy. Another 1 win & 5 nominations., 5 nominations.,Won 1 Primetime Emmy, Another 1 win 
4876,9 wins & 3 nominations., 3 nominations.,9 wins ,0
4877,1 nomination.,0,1 nomination,
4878,Won 3 Oscars. Another 234 wins & 312 nominations., 312 nominations.,Won 3 Oscars, Another 234 wins 
4884,1 nomination.,0,1 nomination,
4885,7 nominations.,0,7 nominations,
4886,1 win.,0,1 win,
4887,3 wins.,0,3 wins,
4888,Nominated for 2 Primetime Emmys. Another 1 win & 2 nominations., 2 nominations.,Nominated for 2 Primetime Emmys, Another 1 win 
4889,1 win & 6 nominations., 6 nominations.,1 win ,0
4890,4 wins.,0,4 wins,
4893,10 wins & 23 nominations., 23 nominations.,10 wins ,0
4895,2 wins.,0,2 wins,
4896,1 win.,0,1 win,
4900,1 win & 3 nominations., 3 nominations.,1 win ,0
4902,Nominated for 2 Primetime Emmys. Another 4 wins & 15 nominations., 15 nominations.,Nominated for 2 Primetime Emmys, Another 4 wins 
4905,1 win & 2 nominations., 2 nominations.,1 win ,0
4906,Nominated for 1 Oscar. Another 12 wins & 71 nominations., 71 nominations.,Nominated for 1 Oscar, Another 12 wins 
4909,2 nominations.,0,2 nominations,
4910,Won 1 Golden Globe. Another 4 wins & 16 nominations., 16 nominations.,Won 1 Golden Globe, Another 4 wins 
4912,1 win & 1 nomination., 1 nomination.,1 win ,0
4913,2 wins & 18 nominations., 18 nominations.,2 wins ,0
4915,9 wins & 13 nominations., 13 nominations.,9 wins ,0
